p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
7.0,1.0,0.2857,0.0,0.0,0.0,0.3643,0.0,0.0,1.0,0.0,http://soilconsnetkerala.gov.in
8.0,0.0,0.0,0.0,10.0,2.0,135.9609,97.9041,2.0,3.0,0.0,http://www.esicner.in
8.0,0.0,0.0,1.0,8.0,2.0,329.877,99.4476,2.0,22.0,0.0,http://www.esicgoa.org.in
8.0,0.0,0.125,1.0,42.0,0.0,291.0674,96.1607,17.0,12.0,0.0,http://sikkim-mplads.gov.in
8.0,0.0,0.25,0.0,0.0,0.0,0.2891,0.0,0.0,1.0,0.0,http://www.gack.kerala.gov.in
8.0,0.0,1.0,0.0,4.0,1.0,54.2529,55.806,1.0,2.0,0.0,http://sspnsamiti.gov.in
8.0,0.0,4.625,0.0,5.0,27.0,6207.9951,55.4026,21.0,9.0,3.0,http://agrisnet.tg.nic.in
8.0,0.375,0.0,0.0,0.0,0.0,5363.1777,99.0917,1.0,3.0,0.0,http://secjharkhand.nic.in
8.0,1.0,0.0,0.0,2.0,0.0,3.8535,78.5352,1.0,1.0,0.0,http://www.nedcap.gov.in
8.0,1.0,5.75,0.0,93.0,30.0,318.4463,91.8688,50.0,12.0,22.0,http://dcffzr.gov.in
9.0,0.0,0.0,0.0,9.0,1.0,29.2627,90.0083,1.0,4.0,0.0,http://www.izhai.tn.gov.in
9.0,0.0,0.0,0.0,13.0,1.0,197.584,90.3181,2.0,8.0,0.0,http://tnescroll.gov.in
9.0,0.0,0.1111,1.0,4.0,1.0,78.291,96.9677,2.0,3.0,0.0,http://hhrc.gov.in
9.0,0.0,0.2222,0.0,0.0,1.0,0.9551,0.0,0.0,1.0,0.0,http://www.rera.ap.gov.in/RERA/Views/Home.aspx
